Username: vbova4174, Password: q6w6bkQr, Nome: Patrizia, Cognome: Bragaglia, CodiceFiscale: CFDAQD79J26I310D
Username: lidia69762, Password: Ke7rM9wy, Nome: Arturo, Cognome: Interiano, CodiceFiscale: XNVPDA65B37M440G
Username: iruggeri4603, Password: v6odkxtR, Nome: Vanessa, Cognome: Caffarelli, CodiceFiscale: DOKLRN64H66G549A
Username: ninetta461830, Password: 4TaaGfQr, Nome: Vincentio, Cognome: Ferragamo, CodiceFiscale: GBABTG68X29K557Y
Username: livio463194, Password: lqaCnuLw, Nome: Paola, Cognome: Bruscantini, CodiceFiscale: RIYLYO03L00R945X
Username: rosalia814987, Password: zRcuoVag, Nome: Gianluigi, Cognome: Peranda, CodiceFiscale: LDUIMM48X92V727S
Username: eligorio8885, Password: nzaW27dH, Nome: Tullio, Cognome: Lupo, CodiceFiscale: ASKXDA89P83J498N
Username: lombardofilippa3059, Password: HmEJukw5, Nome: Martina, Cognome: Adinolfi, CodiceFiscale: UIMRMM43S37P598H
Username: ezio322051, Password: S3w3lfoo, Nome: Achille, Cognome: Bosurgi, CodiceFiscale: FKUFGJ23Z57Z178Q
Username: niscoromniezio7437, Password: l0zM9xRj, Nome: Eleanora, Cognome: Tomei, CodiceFiscale: SKZMHC89T08U168A
Username: olga522190, Password: CyVP85xC, Nome: Coriolano, Cognome: Zanazzo, CodiceFiscale: ADRISY66N49H708J
Username: pasqualebignardi7589, Password: 3SSu5Gut, Nome: Letizia, Cognome: Bresciani, CodiceFiscale: ZCUWRP69Y64C603R
Username: concettapuccini1304, Password: Tj8UAVQ7, Nome: Alderano, Cognome: Gualtieri, CodiceFiscale: BCRZYW48O41J155K
Username: dianacardano6177, Password: 5Af6wsFU, Nome: Silvia, Cognome: Volterra, CodiceFiscale: OIXYCE62Y80O711D
Username: romina61774, Password: fqZXtXqI, Nome: Venancio, Cognome: Rizzoli, CodiceFiscale: TFPWGZ74B89I026E
